Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Total Points,Form
Kluivert,3,Midfielder,6.0,26.9,8.76,1.92,128,6.7
Mepham,3,Defender,4.4,0.0,0.0,0.0,0,0.0
O.Dango,3,Midfielder,5.1,3.7,6.51,2.46,93,10.0
Paulsen,3,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0
Philip,3,Midfielder,4.8,0.0,0.55,0.97,10,0.0
Scott,3,Midfielder,4.7,0.0,0.17,0.27,12,0.3
Semenyo,3,Midfielder,5.7,8.7,7.24,3.23,106,5.0
Senesi,3,Defender,4.6,0.3,0.81,0.44,21,0.0
Sinisterra,3,Midfielder,4.8,0.1,1.09,0.91,20,0.3
Smith,3,Defender,4.4,0.1,0.6,0.1,34,0.0
Tavernier,3,Midfielder,5.4,0.2,4.48,2.18,61,4.3
Travers,3,Goalkeeper,4.4,0.1,0.0,0.01,19,0.0
Zabarnyi,3,Defender,4.4,0.7,0.81,0.41,66,2.7
Arrizabalaga,3,Goalkeeper,4.6,2.8,0.0,0.0,67,4.0
Huijsen,3,Defender,4.5,4.7,1.41,0.84,67,2.7
J.Araujo,3,Defender,4.3,0.1,0.0,0.04,8,0.0
Dennis,3,Goalkeeper,4.0,0.3,0.0,0.0,0,0.0
Evanilson,3,Forward,5.6,0.6,6.46,1.3,78,0.0
Kinsey,3,Defender,4.0,0.0,0.0,0.0,0,0.0
Winterburn,3,Midfielder,4.5,0.0,0.0,0.0,2,0.0
Harris,3,Defender,4.0,0.0,0.0,0.0,0,0.0
Rees-Dottin,3,Forward,4.5,0.1,0.0,0.0,1,0.0
Akinmboni,3,Defender,4.0,0.0,0.0,0.0,0,0.0
Soler,3,Defender,3.9,0.0,0.0,0.0,0,0.0
Adu-Adjei,3,Forward,4.5,0.0,0.0,0.0,0,0.0
Sadi,3,Midfielder,4.5,0.0,0.0,0.0,0,0.0
McKenna,3,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0
Silcott-Duberry,3,Midfielder,4.5,0.0,0.0,0.0,1,0.3
Iraola,3,Unknown,1.1,7.5,0.0,0.0,22,7.3
Ajer,4,Defender,4.4,0.2,0.57,0.32,17,2.7
Brierley,4,Midfielder,4.4,0.1,0.0,0.0,0,0.0
Collins,4,Defender,4.5,2.4,2.12,1.18,80,5.3
