Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Total Points,Form
Edouard,11,Forward,5.1,0.2,0.39,0.07,7,0.0
B.Soumaré,11,Midfielder,4.4,0.4,0.21,0.64,24,2.0
Cannon,11,Forward,4.5,0.3,0.0,0.0,0,0.0
Choudhury,11,Midfielder,4.4,1.9,0.0,0.19,4,0.0
Coady,11,Defender,4.0,0.4,0.0,0.45,8,0.3
Daka,11,Forward,4.8,0.7,0.5,0.03,20,1.0
De Cordova-Reid,11,Midfielder,5.2,0.1,0.75,0.13,40,3.7
Faes,11,Defender,3.9,6.4,1.14,0.35,31,1.0
Golding,11,Midfielder,4.4,0.2,0.0,0.0,0,0.0
Hermansen,11,Goalkeeper,4.4,0.4,0.0,0.02,41,1.0
Iversen,11,Goalkeeper,3.9,0.9,0.0,0.0,0,0.0
Justin,11,Defender,4.1,1.5,1.37,0.48,44,1.0
Kristiansen,11,Defender,4.4,0.1,0.1,1.59,28,1.0
Marcal,11,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Mavididi,11,Midfielder,5.0,0.3,1.56,3.09,56,0.7
McAteer,11,Midfielder,4.7,0.0,0.55,0.22,18,0.0
Ndidi,11,Midfielder,4.9,0.2,1.64,1.13,39,0.7
Okoli,11,Defender,4.0,0.6,0.14,0.1,19,0.7
Ricardo,11,Defender,4.1,0.1,0.0,0.03,2,0.0
Souttar,11,Defender,4.0,0.0,0.0,0.0,0,0.0
Stolarczyk,11,Goalkeeper,4.0,0.6,0.0,0.0,10,0.7
Thomas,11,Defender,3.9,1.7,0.02,0.05,1,0.0
Vardy,11,Forward,5.4,5.3,8.41,2.14,92,4.0
Vestergaard,11,Defender,3.9,1.8,0.04,0.08,11,0.7
Ward,11,Goalkeeper,3.9,2.1,0.0,0.0,2,0.0
Winks,11,Midfielder,4.4,5.8,0.21,1.5,37,1.0
Skipp,11,Midfielder,4.7,0.0,0.13,0.28,18,0.3
A.Fatawu,11,Midfielder,5.1,0.2,0.41,1.42,26,0.0
Alves,11,Midfielder,4.4,0.1,0.0,0.0,1,0.0
Nelson,11,Defender,4.0,0.0,0.0,0.0,0,0.0
El Khannouss,11,Midfielder,4.8,0.2,0.52,1.33,50,4.0
Cartwright,11,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Wilson-Brown,11,Defender,4.0,0.0,0.0,0.0,0,0.0
Coulibaly,11,Defender,4.0,0.0,0.0,0.03,2,0.7
Van Nistelrooy,11,Unknown,0.5,0.4,0.0,0.0,8,2.7
A.Becker,12,Goalkeeper,5.5,9.4,0.0,0.2,73,3.2
Alexander-Arnold,12,Defender,7.4,32.6,1.28,6.41,121,5.0
Bajcetic,12,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Bradley,12,Defender,4.7,0.3,0.49,0.26,16,0.8
Clark,12,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Darwin,12,Forward,7.0,2.2,4.04,0.35,49,1.0
Diogo J.,12,Midfielder,7.2,2.6,6.16,1.04,68,1.8
Doak,12,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Elliott,12,Midfielder,5.2,0.2,0.07,0.35,12,0.2
Endo,12,Midfielder,4.6,0.1,0.0,0.04,11,0.6
Gakpo,12,Forward,7.6,18.9,5.4,2.71,94,4.6
Gomez,12,Defender,4.7,0.4,0.33,0.09,14,0.0
Gravenberch,12,Midfielder,5.0,0.8,0.86,2.95,63,2.2
Jones,12,Midfielder,5.3,0.3,3.47,0.71,65,1.4
Kelleher,12,Goalkeeper,4.0,1.2,0.0,0.0,37,0.0
Konaté,12,Defender,5.2,7.6,1.03,0.78,68,2.6
Luis Díaz,12,Midfielder,7.5,17.5,6.87,2.19,121,4.2
M.Salah,12,Midfielder,13.7,71.9,19.13,6.02,271,11.4
Mac Allister,12,Midfielder,6.2,2.0,2.18,3.7,75,3.4
McConnell,12,Midfielder,4.4,0.1,0.0,0.0,0,0.0
Morton,12,Midfielder,4.4,0.1,0.0,0.0,0,0.0
N.Phillips,12,Defender,4.0,0.1,0.0,0.0,0,0.0
Quansah,12,Defender,3.9,1.2,0.0,0.14,6,0.4
R.Williams,12,Defender,4.0,0.0,0.0,0.0,0,0.0
Robertson,12,Defender,5.9,4.4,0.55,3.47,69,2.6
Szoboszlai,12,Midfielder,6.3,2.8,5.52,4.16,86,4.4
Tsimikas,12,Defender,4.6,0.2,0.08,1.05,25,0.2
Virgil,12,Defender,6.4,22.9,1.53,0.7,93,2.0
Chiesa,12,Midfielder,6.8,0.2,0.16,0.09,3,0.2
Jaros,12,Goalkeeper,4.0,0.1,0.0,0.0,1,0.0
Davies,12,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0
Nyoni,12,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Nallo,12,Defender,4.0,0.0,0.0,0.0,0,0.0
Danns,12,Forward,4.5,0.0,0.0,0.01,1,0.2
Slot,12,Unknown,1.5,37.9,0.0,0.0,38,7.6
Akanji,13,Defender,5.3,2.5,0.7,1.09,44,0.7
Aké,13,Defender,5.3,0.8,0.22,0.15,24,0.0
Bernardo,13,Midfielder,6.2,2.7,2.82,3.27,72,1.0
Bobb,13,Midfielder,4.7,0.1,0.0,0.0,0,0.0
Carson,13,Goalkeeper,3.9,0.2,0.0,0.0,0,0.0
De Bruyne,13,Midfielder,9.3,3.9,2.54,4.45,72,0.7
Doku,13,Midfielder,6.2,1.3,0.77,1.81,59,0.3
Ederson M.,13,Goalkeeper,5.3,4.7,0.0,0.02,60,6.3
Foden,13,Midfielder,9.3,7.6,4.61,4.95,92,4.0
Grealish,13,Midfielder,6.4,0.2,0.78,1.52,25,0.0
Gvardiol,13,Defender,5.9,18.6,4.18,2.18,95,4.7
Haaland,13,Forward,14.7,27.4,18.3,1.66,154,7.7
J.Alvarez,13,Forward,7.0,0.1,0.0,0.0,0,0.0
João Cancelo,13,Defender,5.3,0.2,0.0,0.0,0,0.0
Kovačić,13,Midfielder,5.4,1.2,1.39,2.51,75,1.3
Lewis,13,Defender,4.4,4.4,1.1,0.82,53,2.0
Matheus N.,13,Midfielder,4.9,0.1,0.53,2.11,40,2.7
McAtee,13,Midfielder,4.6,0.1,1.34,0.03,18,2.3
Ortega Moreno,13,Goalkeeper,5.2,0.6,0.0,0.0,25,0.0
Rodrigo,13,Midfielder,6.2,0.8,0.0,0.09,2,0.0
Rúben,13,Defender,5.4,2.2,1.12,0.75,34,0.0
Stones,13,Defender,5.3,1.1,0.6,0.17,29,2.7
Walker,13,Defender,5.1,2.7,0.12,1.34,13,0.0
Savinho,13,Midfielder,6.2,2.4,3.55,5.25,83,3.7
O’Reilly,13,Midfielder,4.9,0.0,0.03,0.0,2,0.3
Gündogan,13,Midfielder,6.3,0.4,1.59,2.95,46,2.7
Kaboré,13,Defender,4.5,0.0,0.0,0.0,0,0.0
Wright,13,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Simpson-Pusey,13,Defender,4.0,0.0,0.0,0.01,1,0.0
Wilson-Esbrand,13,Defender,4.0,0.0,0.0,0.0,0,0.0
Mubama,13,Forward,4.5,0.1,0.04,0.0,1,0.0
Alleyne,13,Defender,4.0,0.0,0.0,0.0,0,0.0
Brits,13,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0
Khusanov,13,Defender,5.0,0.1,0.02,0.01,6,2.0
Vitor Reis,13,Defender,4.5,0.0,0.0,0.0,0,0.0
Guardiola,13,Unknown,1.5,1.1,0.0,0.0,22,7.3
Marmoush,13,Forward,7.1,6.1,0.88,0.58,21,7.0
N.Gonzalez,13,Midfielder,6.0,0.0,0.0,0.04,3,3.0
Amad,14,Midfielder,5.5,14.7,4.12,3.42,107,1.7
Antony,14,Midfielder,5.7,0.2,0.6,0.21,8,0.0
B.Fernandes,14,Midfielder,8.3,8.3,7.86,4.59,106,2.0
Bayindir,14,Goalkeeper,4.3,0.1,0.0,0.0,0,0.0
Casemiro,14,Midfielder,4.7,0.4,1.25,1.73,33,0.3
Dalot,14,Defender,5.0,5.5,1.69,1.69,65,3.3
Eriksen,14,Midfielder,5.2,0.2,0.12,1.56,24,0.3
Evans,14,Defender,4.4,0.1,0.08,0.02,14,0.0
Garnacho,14,Midfielder,5.9,4.7,5.57,1.34,63,2.3
Hannibal,14,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Heaton,14,Goalkeeper,3.9,0.3,0.0,0.0,0,0.0
Højlund,14,Forward,6.9,1.0,2.35,0.79,46,1.3
Lindelof,14,Defender,4.3,0.1,0.0,0.04,4,0.0
Maguire,14,Defender,4.9,0.6,0.61,0.21,26,3.3
Mainoo,14,Midfielder,5.2,1.9,0.6,1.22,32,1.0
Malacia,14,Defender,4.4,0.0,0.0,0.02,2,0.3
Martinez,14,Defender,4.4,2.9,1.33,1.21,68,5.7
McTominay,14,Midfielder,4.9,0.1,0.07,0.0,2,0.0
Mount,14,Midfielder,6.3,0.1,0.4,0.08,8,0.0
Onana,14,Goalkeeper,5.0,6.0,0.0,0.19,87,3.7
Pellistri,14,Midfielder,5.0,0.0,0.0,0.0,0,0.0
Shaw,14,Defender,4.9,0.2,0.0,0.01,2,0.0
Zirkzee,14,Forward,6.5,1.5,3.46,0.99,54,1.3
Yoro,14,Defender,4.3,0.2,0.7,0.03,10,0.7
De Ligt,14,Defender,4.9,3.2,1.93,0.24,50,1.3
Mazraoui,14,Defender,4.3,9.0,0.46,1.37,63,3.3
Collyer,14,Midfielder,4.5,0.1,0.0,0.02,4,0.3
Wheatley,14,Forward,4.5,1.3,0.0,0.0,0,0.0
Ugarte,14,Midfielder,4.9,0.1,0.36,0.46,21,1.0
Heaven,14,Defender,4.0,0.1,0.0,0.0,0,0.0
Fletcher,14,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Amass,14,Defender,4.0,0.0,0.0,0.0,0,0.0
Fitzgerald,14,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Kukonki,14,Defender,4.0,0.0,0.0,0.0,0,0.0
Amorim,14,Unknown,0.8,1.2,0.0,0.0,9,3.0
Harrison,14,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0
Dorgu,14,Defender,4.5,0.1,0.03,0.06,1,1.0
Obi,14,Forward,4.5,0.0,0.0,0.0,1,1.0
Fredricson,14,Defender,4.0,0.0,0.0,0.0,0,0.0
Moorhouse,14,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Koné,14,Midfielder,4.5,0.0,0.0,0.0,0,0.0
A.Murphy,15,Defender,4.0,0.6,0.0,0.0,0,0.0
Almirón,15,Midfielder,5.4,0.3,0.52,0.19,10,0.3
Barnes,15,Midfielder,5.9,1.0,2.41,2.62,65,0.0
Botman,15,Defender,4.4,0.1,0.03,0.02,7,0.0
Bruno G.,15,Midfielder,6.1,2.1,2.28,4.09,88,1.7
Burn,15,Defender,4.4,6.8,1.1,0.69,66,0.7
Dúbravka,15,Goalkeeper,4.3,3.1,0.0,0.0,44,1.7
Gordon,15,Midfielder,7.5,15.7,7.52,4.35,109,2.7
Hall,15,Defender,5.0,23.1,0.43,3.49,92,1.0
Hayden,15,Midfielder,4.4,0.1,0.0,0.0,0,0.0
Isak,15,Forward,9.5,57.9,14.12,3.11,154,5.7
J.Murphy,15,Midfielder,5.1,4.2,2.59,3.59,90,5.3
Joelinton,15,Midfielder,6.0,1.2,3.43,1.67,76,1.0
Kelly,15,Defender,4.2,0.1,0.41,0.11,12,0.3
Krafth,15,Defender,4.3,0.1,0.04,0.03,11,0.3
Kuol,15,Midfielder,4.4,0.1,0.0,0.0,0,0.0
Lascelles,15,Defender,4.5,0.0,0.0,0.0,0,0.0
Lewis,15,Defender,4.0,0.1,0.0,0.0,0,0.0
Livramento,15,Defender,4.5,1.7,0.13,0.57,57,1.7
Longstaff,15,Midfielder,4.5,0.4,0.6,0.22,28,0.7
Miley,15,Midfielder,5.0,0.0,0.41,0.03,6,1.0
Odysseas,15,Goalkeeper,4.3,0.1,0.0,0.0,0,0.0
Pope,15,Goalkeeper,4.9,3.1,0.0,0.0,48,0.0
Ruddy,15,Goalkeeper,3.9,0.3,0.0,0.0,0,0.0
Schär,15,Defender,5.4,1.5,1.7,0.77,58,1.0
Targett,15,Defender,4.0,0.3,0.0,0.0,1,0.0
Tonali,15,Midfielder,5.5,0.5,3.15,1.14,50,4.0
Trippier,15,Defender,5.6,3.3,0.03,0.54,25,0.3
White,15,Midfielder,4.5,0.1,0.0,0.0,0,0.0
Willock,15,Midfielder,4.7,0.1,0.87,0.68,30,1.0
Wilson,15,Forward,6.9,0.1,0.0,0.0,4,0.3
Pivas,15,Defender,4.0,0.1,0.0,0.0,0,0.0
Osula,15,Forward,4.9,0.2,0.0,0.02,9,0.3
Howe,15,Unknown,1.5,0.4,0.0,0.0,10,3.3
Alex Moreno,16,Defender,4.2,0.4,0.17,0.82,31,0.0
Aina,16,Defender,5.4,29.0,0.56,1.36,109,2.7
Anderson,16,Midfielder,5.0,0.3,1.11,2.82,71,2.3
Awoniyi,16,Forward,5.5,0.3,2.04,0.11,24,0.7
Boly,16,Defender,4.2,0.1,0.07,0.0,5,0.3
Bowler,16,Midfielder,4.5,0.0,0.0,0.0,0,0.0
C.Miguel,16,Goalkeeper,4.1,0.2,0.0,0.0,0,0.0
Da Silva Moreira,16,Midfielder,4.4,0.1,0.0,0.0,2,0.0
Danilo,16,Midfielder,4.7,0.0,0.0,0.0,6,1.7
Dennis,16,Forward,4.9,0.2,0.0,0.0,0,0.0
Dominguez,16,Midfielder,4.8,0.0,1.22,0.89,27,0.7
Elanga,16,Midfielder,5.3,6.6,2.64,3.43,94,5.7
Gibbs-White,16,Midfielder,6.5,5.2,3.39,3.74,100,7.7
Hudson-Odoi,16,Midfielder,5.2,1.0,2.02,1.9,71,0.3
Mighten,16,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Murillo,16,Defender,4.7,3.6,1.08,0.9,87,2.0
N.Williams,16,Defender,4.4,2.2,1.6,0.53,68,4.7
O.Richards,16,Defender,4.5,0.0,0.0,0.0,0,0.0
O'Brien,16,Midfielder,5.0,0.0,0.0,0.0,0,0.0
Omobamidele,16,Defender,4.2,0.0,0.0,0.0,0,0.0
Panzo,16,Defender,4.0,0.0,0.0,0.0,0,0.0
Sangaré,16,Midfielder,4.3,1.1,0.02,0.06,9,1.7
Sels,16,Goalkeeper,5.0,17.8,0.0,0.06,110,4.0
Toffolo,16,Defender,4.2,0.1,0.02,0.01,3,0.0
Ui-jo,16,Forward,4.5,0.8,0.0,0.0,0,0.0
Wood,16,Forward,7.1,44.7,10.31,0.38,163,9.3
Worrall,16,Defender,4.5,0.0,0.0,0.0,0,0.0
Yates,16,Midfielder,4.8,0.1,1.74,0.4,46,0.3
Milenković,16,Defender,4.8,8.1,3.1,0.53,93,2.3
Jota Silva,16,Midfielder,5.9,0.1,1.01,1.81,36,2.7
Sosa,16,Midfielder,5.5,0.1,1.04,0.3,20,0.0
Morato,16,Defender,4.5,0.1,0.1,0.02,33,2.0
Abbott,16,Defender,4.0,0.0,0.0,0.0,0,0.0
Hennessey,16,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0
Nuno,16,Unknown,1.1,1.5,0.0,0.0,16,5.3
Ramsdale,17,Goalkeeper,4.4,1.2,0.0,0.03,51,1.7
Archer,17,Forward,5.0,1.4,4.75,0.53,41,0.7
Ugochukwu,17,Midfielder,4.4,0.4,0.35,0.39,21,1.7
Fraser,17,Midfielder,4.8,0.0,0.02,0.1,7,0.3
Amo-Ameyaw,17,Midfielder,4.4,0.1,0.02,0.13,1,0.0
Aribo,17,Midfielder,4.9,0.1,2.54,1.16,60,5.0
Armstrong,17,Forward,5.1,0.8,3.28,0.56,45,0.3
Bazunu,17,Goalkeeper,4.3,0.1,0.0,0.0,0,0.0
Bednarek,17,Defender,4.0,3.1,0.65,0.78,45,3.0
Bella-Kotchap,17,Defender,3.9,0.4,0.0,0.0,0,0.0
Bree,17,Defender,3.9,0.5,0.11,0.53,15,2.3
Charles,17,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Edozie,17,Midfielder,4.9,0.0,0.0,0.15,1,0.0
Edwards,17,Defender,3.9,0.3,0.0,0.0,1,0.0
Harwood-Bellis,17,Defender,4.0,6.4,1.55,0.5,39,0.7
Kamaldeen,17,Midfielder,5.0,0.0,0.73,0.2,25,4.3
Lallana,17,Midfielder,5.0,0.0,0.15,0.48,16,0.7
Larios,17,Defender,3.9,0.1,0.0,0.0,0,0.0
Lis,17,Goalkeeper,4.0,0.1,0.0,0.0,0,0.0
Lumley,17,Goalkeeper,4.0,0.6,0.0,0.0,8,0.0
Manning,17,Defender,4.3,0.1,0.14,1.67,16,0.3
Mara,17,Forward,5.0,0.0,0.0,0.0,0,0.0
McCarthy,17,Goalkeeper,4.3,0.1,0.0,0.0,12,0.7
Onuachu,17,Forward,4.9,0.4,1.72,0.23,31,4.7
Smallbone,17,Midfielder,5.0,0.0,0.31,0.64,10,0.7
Stephens,17,Defender,4.0,0.4,0.28,0.2,11,0.3
Stewart,17,Forward,4.4,2.0,0.17,0.02,3,0.0
Sugawara,17,Defender,4.2,0.2,0.39,1.88,37,0.7
Taylor,17,Defender,3.9,4.2,0.0,0.1,5,0.0
Walker-Peters,17,Defender,4.3,0.3,0.49,2.06,41,1.3
Wood,17,Defender,4.0,1.2,0.23,0.04,13,0.0
Cornet,17,Midfielder,4.7,0.0,0.16,0.0,1,0.0
Downes,17,Midfielder,4.7,0.0,0.62,1.14,32,0.0
Brereton Díaz,17,Midfielder,4.8,0.1,0.9,0.15,13,0.0
Dibling,17,Midfielder,4.5,1.7,2.12,1.22,46,0.3
M.Fernandes,17,Midfielder,5.0,0.0,3.15,2.56,54,1.7
O'Brien-Whitmarsh,17,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Welington,17,Defender,4.0,0.0,0.0,0.14,1,0.3
Kayi Sanda,17,Defender,4.0,0.0,0.0,0.0,0,0.0
Grønbæk,17,Midfielder,5.0,0.0,0.12,0.0,2,0.7
Jurić,17,Unknown,0.5,0.1,0.0,0.0,10,3.3
Solanke,18,Forward,7.3,4.5,8.43,1.08,83,0.0
A.Phillips,18,Defender,4.0,0.2,0.0,0.0,0,0.0
Austin,18,Goalkeeper,4.0,0.5,0.0,0.0,1,0.0
Bentancur,18,Midfielder,4.9,0.1,0.88,0.71,35,2.7
Bergvall,18,Midfielder,4.4,1.1,0.4,0.52,26,3.0
Bissouma,18,Midfielder,4.8,0.2,0.48,0.46,42,1.3
Bryan,18,Midfielder,5.0,0.0,0.0,0.0,0,0.0
Davies,18,Defender,4.3,0.2,0.16,0.21,23,4.0
Devine,18,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Dragusin,18,Defender,4.3,0.2,0.13,0.16,24,0.3
E.Royal,18,Defender,4.5,0.0,0.0,0.0,0,0.0
Forster,18,Goalkeeper,4.3,0.4,0.0,0.0,19,0.0
Gray,18,Midfielder,4.6,0.2,0.03,0.09,28,2.0
Højbjerg,18,Midfielder,5.0,0.0,0.0,0.0,0,0.0
Johnson,18,Midfielder,6.2,1.8,8.41,1.24,90,0.3
Kulusevski,18,Midfielder,6.3,4.7,3.87,3.88,100,2.7
Lo Celso,18,Midfielder,4.9,0.0,0.0,0.0,0,0.0
Maddison,18,Midfielder,7.4,4.2,5.38,4.77,112,3.3
Pedro Porro,18,Defender,5.4,20.2,1.5,3.1,89,6.0
Reguilón,18,Defender,4.2,0.2,0.07,0.24,1,0.0
Richarlison,18,Forward,6.8,0.4,1.17,0.58,20,2.3
Romero,18,Defender,4.9,3.4,1.03,0.74,35,0.0
P.M.Sarr,18,Midfielder,4.8,0.2,2.42,0.54,50,2.7
Scarlett,18,Forward,4.4,0.4,0.0,0.0,1,0.3
Solomon,18,Midfielder,5.4,0.0,0.0,0.0,0,0.0
Son,18,Midfielder,9.7,4.6,5.36,4.04,107,5.0
Spence,18,Defender,4.4,0.3,0.17,0.75,31,6.0
Udogie,18,Defender,4.8,1.4,0.31,1.1,37,0.0
Van de Ven,18,Defender,4.5,2.5,0.35,0.69,28,0.0
Veliz,18,Forward,5.0,0.0,0.0,0.0,0,0.0
Vicario,18,Goalkeeper,4.8,1.7,0.0,0.0,46,3.0
Werner,18,Midfielder,6.2,0.1,1.04,1.54,33,0.0
Whiteman,18,Goalkeeper,3.9,1.4,0.0,0.0,0,0.0
Lankshear,18,Forward,4.5,1.3,0.0,0.0,3,0.3
Moore,18,Midfielder,4.5,0.2,0.2,0.55,14,0.7
Odobert,18,Midfielder,5.3,0.0,0.42,0.08,7,0.3
Olusesi,18,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Hardy,18,Defender,4.0,0.0,0.0,0.0,0,0.0
Williams-Barnett,18,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Dorrington,18,Defender,4.0,0.0,0.0,0.0,1,0.0
King,18,Defender,4.0,0.0,0.0,0.0,0,0.0
Kinsky,18,Goalkeeper,4.5,0.3,0.0,0.01,12,2.7
Yang,18,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Ajayi,18,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Postecoglou,18,Unknown,1.1,0.6,0.0,0.0,20,6.7
Cassanova,18,Defender,4.0,0.0,0.0,0.0,0,0.0
Danso,18,Defender,4.5,0.0,0.04,0.03,6,6.0
Tel,18,Midfielder,6.0,0.2,0.72,0.06,3,3.0
Ferguson,19,Forward,5.5,0.3,0.69,0.63,20,0.3
Wan-Bissaka,19,Defender,4.4,4.1,0.97,1.6,65,1.0
Álvarez,19,Midfielder,5.0,0.1,0.31,0.74,27,2.0
Antonio,19,Forward,5.3,0.9,2.2,0.91,42,0.0
Areola,19,Goalkeeper,4.2,3.7,0.0,0.0,27,2.7
Bowen,19,Midfielder,7.3,3.0,4.96,4.8,102,4.0
Coufal,19,Defender,4.1,0.4,0.27,0.8,18,1.7
Cresswell,19,Defender,3.9,1.6,0.11,0.5,9,0.7
Earthy,19,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Emerson,19,Defender,4.4,0.6,1.6,1.89,58,4.3
Fabianski,19,Goalkeeper,4.1,16.1,0.0,0.0,36,0.0
Foderingham,19,Goalkeeper,4.3,0.1,0.0,0.0,0,0.0
Ings,19,Forward,4.9,1.3,2.25,0.06,31,0.7
Kilman,19,Defender,4.3,1.1,1.44,0.82,48,1.7
Kudus,19,Midfielder,6.2,2.3,5.08,1.82,61,2.0
L.Guilherme,19,Midfielder,4.6,0.0,0.03,0.12,7,0.7
L.Paquetá,19,Midfielder,5.7,1.0,4.89,2.18,66,1.3
Mavropanos,19,Defender,4.3,0.1,1.0,0.38,32,1.0
N.Aguerd,19,Defender,4.4,0.0,0.0,0.0,0,0.0
Souček,19,Midfielder,4.9,1.5,3.89,1.18,76,1.0
Ward-Prowse,19,Midfielder,6.1,0.5,0.1,1.0,16,0.3
Zouma,19,Defender,4.4,0.1,0.0,0.0,0,0.0
Irving,19,Midfielder,4.7,0.0,0.13,0.12,8,0.7
Summerville,19,Midfielder,5.5,0.3,1.61,1.71,33,0.0
G.Rodríguez,19,Midfielder,4.8,0.1,0.22,0.12,28,0.3
Füllkrug,19,Forward,6.7,0.8,1.38,0.29,22,0.0
Todibo,19,Defender,4.2,0.2,0.1,0.02,24,0.0
Casey,19,Defender,4.0,0.2,0.0,0.0,1,0.0
C.Soler,19,Midfielder,5.0,0.0,1.21,1.21,35,1.7
Scarles,19,Defender,4.0,0.0,0.09,0.02,7,1.0
Mayers,19,Defender,4.0,0.0,0.0,0.0,0,0.0
Orford,19,Midfielder,4.5,0.0,0.03,0.04,2,0.3
Potter,19,Unknown,0.5,0.5,0.0,0.0,10,3.3
Johnstone,20,Goalkeeper,4.2,0.3,0.0,0.0,12,0.0
Aït-Nouri,20,Defender,4.7,4.8,1.59,1.6,69,3.3
B.Traore,20,Midfielder,4.8,0.0,0.0,0.0,0,0.0
Bellegarde,20,Midfielder,4.9,0.1,0.82,1.44,53,5.3
Bentley,20,Goalkeeper,3.9,1.6,0.0,0.0,0,0.0
Chiquinho,20,Midfielder,4.5,0.1,0.0,0.05,1,0.0
Chirewa,20,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Chiwome,20,Forward,4.5,1.5,0.0,0.0,0,0.0
Cundle,20,Midfielder,4.5,0.2,0.0,0.0,0,0.0
Cunha,20,Forward,6.8,8.7,5.76,4.12,132,6.0
Dawson,20,Defender,4.3,0.1,0.5,0.07,17,0.0
Doherty,20,Defender,4.3,0.3,1.04,0.83,43,2.7
Doyle,20,Midfielder,4.7,0.0,0.55,0.34,24,1.0
Fábio Silva,20,Forward,5.0,0.1,0.0,0.0,0,0.0
Fraser,20,Forward,4.5,1.1,0.0,0.0,0,0.0
Gonzalez,20,Midfielder,4.4,0.0,0.0,0.0,0,0.0
Guedes,20,Midfielder,5.3,0.1,2.18,0.59,53,1.7
H.Bueno,20,Defender,4.5,0.0,0.0,0.0,0,0.0
Hee Chan,20,Midfielder,6.1,0.2,0.79,0.35,33,1.7
Hodge,20,Midfielder,4.5,0.2,0.0,0.0,0,0.0
Hoever,20,Defender,4.0,0.1,0.0,0.0,0,0.0
J.Gomes,20,Midfielder,4.9,0.2,1.78,1.99,59,0.3
José Sá,20,Goalkeeper,4.3,1.8,0.0,0.01,50,3.3
Kalajdžić,20,Forward,4.8,0.0,0.0,0.0,0,0.0
King,20,Goalkeeper,4.0,1.3,0.0,0.0,0,0.0
Mario Jr.,20,Midfielder,4.8,0.2,1.3,0.87,47,0.0
Mosquera,20,Defender,3.8,0.7,0.33,0.03,3,0.0
N.Semedo,20,Defender,4.5,0.2,0.61,0.99,45,3.0
Pedro Lima,20,Defender,3.9,1.4,0.0,0.09,1,0.3
Podence,20,Midfielder,5.5,0.0,0.04,0.01,2,0.0
R.Gomes,20,Midfielder,5.1,0.1,0.37,0.64,28,0.7
S.Bueno,20,Defender,4.3,0.1,0.45,0.08,32,1.3
Sarabia,20,Midfielder,5.0,0.1,2.41,0.83,22,2.7
Strand Larsen,20,Forward,5.2,1.1,6.14,0.55,84,0.3
Toti,20,Defender,4.3,0.2,0.03,0.38,42,2.7
Meupiyou,20,Defender,3.9,0.2,0.0,0.0,0,0.0
André,20,Midfielder,5.0,0.0,0.09,0.23,35,2.3
Forbs,20,Midfielder,5.4,0.0,0.15,0.1,8,0.0
Pond,20,Defender,3.9,0.9,0.0,0.0,1,0.0
Edozie,20,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Okoduwa,20,Defender,4.0,0.0,0.0,0.0,0,0.0
Agbadou,20,Defender,4.0,0.1,0.03,0.03,9,2.7
Pereira,20,Unknown,0.8,0.4,0.0,0.0,21,7.0
Djiga,20,Defender,4.5,0.0,0.0,0.0,0,0.0
Munetsi,20,Midfielder,5.0,0.0,0.6,0.01,1,1.0
