Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Total Points,Form,Fixture Difficulty (Next 3)
Broggio,Aston Villa,Midfielder,4.5,0.0,0.0,0.0,0,0.0,2.67
Jimoh,Aston Villa,Midfielder,4.5,0.0,0.0,0.0,0,0.0,2.67
Malen,Aston Villa,Midfielder,5.5,0.2,0.31,0.04,5,1.2,2.67
A. Garcia,Aston Villa,Defender,4.5,0.1,0.04,0.21,4,1.0,2.67
Emery,Aston Villa,Unknown,0.8,22.2,0.0,0.0,18,4.5,2.67
M.Asensio,Aston Villa,Midfielder,6.0,0.3,0.37,0.09,3,1.5,2.67
Aarons,Bournemouth,Defender,4.3,0.1,0.0,0.01,8,0.0,3.33
Adams,Bournemouth,Midfielder,4.9,0.1,0.79,0.26,34,4.3,3.33
Anthony,Bournemouth,Midfielder,4.5,0.1,0.0,0.0,0,0.0,3.33
Brooks,Bournemouth,Midfielder,4.9,0.0,1.66,1.41,39,2.7,3.33
Christie,Bournemouth,Midfielder,4.9,0.2,1.77,2.48,69,5.7,3.33
Cook,Bournemouth,Midfielder,5.0,0.2,0.62,2.9,60,1.7,3.33
Enes Ünal,Bournemouth,Forward,5.4,0.1,2.73,0.26,32,0.0,3.33
Faivre,Bournemouth,Midfielder,5.0,0.0,0.0,0.0,0,0.0,3.33
H.Traorè,Bournemouth,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.33
Hill,Bournemouth,Defender,3.9,0.6,0.01,0.19,13,0.0,3.33
Jebbison,Bournemouth,Forward,4.5,1.2,0.21,0.12,6,1.0,3.33
Kerkez,Bournemouth,Defender,5.0,14.3,0.46,1.76,92,3.0,3.33
Kluivert,Bournemouth,Midfielder,6.0,27.0,8.76,1.92,128,6.7,3.33
Mepham,Bournemouth,Defender,4.4,0.0,0.0,0.0,0,0.0,3.33
O.Dango,Bournemouth,Midfielder,5.1,3.7,6.51,2.46,93,10.0,3.33
Paulsen,Bournemouth,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0,3.33
Philip,Bournemouth,Midfielder,4.8,0.0,0.55,0.97,10,0.0,3.33
Scott,Bournemouth,Midfielder,4.7,0.0,0.17,0.27,12,0.3,3.33
Semenyo,Bournemouth,Midfielder,5.7,8.7,7.24,3.23,106,5.0,3.33
Senesi,Bournemouth,Defender,4.6,0.3,0.81,0.44,21,0.0,3.33
Sinisterra,Bournemouth,Midfielder,4.8,0.1,1.09,0.91,20,0.3,3.33
Smith,Bournemouth,Defender,4.4,0.1,0.6,0.1,34,0.0,3.33
Tavernier,Bournemouth,Midfielder,5.4,0.2,4.48,2.18,61,4.3,3.33
Travers,Bournemouth,Goalkeeper,4.4,0.1,0.0,0.01,19,0.0,3.33
Zabarnyi,Bournemouth,Defender,4.4,0.7,0.81,0.41,66,2.7,3.33
Arrizabalaga,Bournemouth,Goalkeeper,4.6,2.8,0.0,0.0,67,4.0,3.33
Huijsen,Bournemouth,Defender,4.5,4.7,1.41,0.84,67,2.7,3.33
J.Araujo,Bournemouth,Defender,4.3,0.1,0.0,0.04,8,0.0,3.33
Dennis,Bournemouth,Goalkeeper,4.0,0.3,0.0,0.0,0,0.0,3.33
Evanilson,Bournemouth,Forward,5.6,0.6,6.46,1.3,78,0.0,3.33
Kinsey,Bournemouth,Defender,4.0,0.0,0.0,0.0,0,0.0,3.33
Winterburn,Bournemouth,Midfielder,4.5,0.0,0.0,0.0,2,0.0,3.33
Harris,Bournemouth,Defender,4.0,0.0,0.0,0.0,0,0.0,3.33
Rees-Dottin,Bournemouth,Forward,4.5,0.1,0.0,0.0,1,0.0,3.33
Akinmboni,Bournemouth,Defender,4.0,0.0,0.0,0.0,0,0.0,3.33
Soler,Bournemouth,Defender,3.9,0.0,0.0,0.0,0,0.0,3.33
Adu-Adjei,Bournemouth,Forward,4.5,0.0,0.0,0.0,0,0.0,3.33
Sadi,Bournemouth,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.33
McKenna,Bournemouth,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0,3.33
Silcott-Duberry,Bournemouth,Midfielder,4.5,0.0,0.0,0.0,1,0.3,3.33
Iraola,Bournemouth,Unknown,1.1,7.5,0.0,0.0,22,7.3,3.33
Ajer,Brentford,Defender,4.4,0.2,0.57,0.32,17,2.7,3.33
Brierley,Brentford,Midfielder,4.4,0.1,0.0,0.0,0,0.0,3.33
Collins,Brentford,Defender,4.5,2.4,2.12,1.18,80,5.3,3.33
Damsgaard,Brentford,Midfielder,5.0,1.4,2.21,4.39,92,4.0,3.33
Dasilva,Brentford,Midfielder,4.8,0.0,0.0,0.0,0,0.0,3.33
Flekken,Brentford,Goalkeeper,4.4,8.9,0.0,0.07,80,4.3,3.33
Henry,Brentford,Defender,4.3,0.0,0.0,0.0,1,0.0,3.33
Hickey,Brentford,Defender,4.3,0.0,0.0,0.0,0,0.0,3.33
Janelt,Brentford,Midfielder,4.9,0.2,0.65,2.12,61,1.3,3.33
Jensen,Brentford,Midfielder,5.3,0.1,0.23,1.15,27,1.0,3.33
Ji-soo,Brentford,Defender,3.9,0.4,0.0,0.0,2,0.0,3.33
Konak,Brentford,Midfielder,4.4,0.1,0.15,0.0,5,0.0,3.33
Lewis-Potter,Brentford,Midfielder,5.0,0.1,2.31,3.41,66,2.0,3.33
Mbeumo,Brentford,Midfielder,7.9,35.8,8.56,5.73,152,4.0,3.33
Mee,Brentford,Defender,4.2,0.3,0.0,0.02,8,0.3,3.33
Nørgaard,Brentford,Midfielder,4.8,0.2,2.4,0.6,55,2.0,3.33
Onyeka,Brentford,Midfielder,4.9,0.0,0.0,0.02,2,0.0,3.33
Peart-Harris,Brentford,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.33
Pinnock,Brentford,Defender,4.4,0.3,0.87,0.63,34,0.3,3.33
Roerslev,Brentford,Defender,4.3,0.1,0.2,2.09,36,0.7,3.33
Schade,Brentford,Midfielder,5.1,1.0,5.2,0.97,94,7.3,3.33
Thiago,Brentford,Forward,5.9,0.0,0.1,0.02,5,0.0,3.33
Toney,Brentford,Forward,7.3,1.1,0.0,0.0,0,0.0,3.33
Valdimarsson,Brentford,Goalkeeper,3.9,4.3,0.0,0.0,2,0.3,3.33
Wissa,Brentford,Forward,6.3,12.0,11.46,1.25,105,2.0,3.33
Yarmoliuk,Brentford,Midfielder,4.4,2.6,0.54,0.35,23,0.7,3.33
Zanka,Brentford,Defender,4.5,0.0,0.0,0.0,0,0.0,3.33
Carvalho,Brentford,Midfielder,4.5,0.5,2.4,0.52,29,0.7,3.33
Van den Berg,Brentford,Defender,4.1,2.6,0.8,0.44,37,1.3,3.33
Trevitt,Brentford,Midfielder,4.4,0.1,0.0,0.0,1,0.0,3.33
G.Nunes,Brentford,Midfielder,4.9,0.0,0.0,0.0,0,0.0,3.33
Meghoma,Brentford,Defender,4.0,0.0,0.0,0.0,1,0.0,3.33
Yogane,Brentford,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.33
Maghoma,Brentford,Midfielder,4.5,0.0,0.0,0.03,5,0.0,3.33
Arthur,Brentford,Defender,4.0,0.0,0.0,0.0,0,0.0,3.33
Frank,Brentford,Unknown,0.8,1.8,0.0,0.0,17,5.7,3.33
Kayode,Brentford,Defender,4.5,0.0,0.0,0.06,2,1.0,3.33
Eyestone,Brentford,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0,3.33
Adingra,Brighton,Midfielder,5.1,0.3,1.43,1.43,36,0.7,3.33
Baker-Boaitey,Brighton,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.33
Baleba,Brighton,Midfielder,5.0,0.1,1.36,0.6,53,1.3,3.33
Barco,Brighton,Defender,4.0,2.2,0.0,0.0,0,0.0,3.33
Cozier-Duberry,Brighton,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.33
Dahoud,Brighton,Midfielder,4.9,0.0,0.0,0.0,0,0.0,3.33
Dunk,Brighton,Defender,4.2,2.9,0.69,0.64,38,-0.3,3.33
Estupiñan,Brighton,Defender,4.9,0.8,0.5,1.65,39,0.0,3.33
Gilmour,Brighton,Midfielder,5.0,0.0,0.08,0.04,3,0.0,3.33
Gross,Brighton,Midfielder,6.5,0.0,0.0,0.0,0,0.0,3.33
