Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
350,Jacob Murphy,eng ENG,FW,Newcastle Utd,29-362,1995,22,18,1431,15.9,4,7,11,4,0,0,2,0,2.6,2.6,6.3,8.9,50,53,131,0.25,0.44,0.69,0.25,0.69,0.16,0.40,0.56,0.16,0.56,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
351,Vitaliy Mykolenko,ua UKR,DF,Everton,25-267,1999,23,23,2002,22.2,0,0,0,0,0,0,2,0,0.4,0.4,1.2,1.6,22,80,53,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
352,Iliman Ndiaye,sn SEN,FW,Everton,24-351,2000,24,22,1877,20.9,6,0,6,5,1,1,3,0,3.6,2.8,1.5,4.3,71,38,95,0.29,0.00,0.29,0.24,0.24,0.17,0.07,0.25,0.13,0.21,Matches
353,Wilfred Ndidi,ng NGA,MF,Leicester City,28-066,1996,16,16,1299,14.4,0,4,4,0,0,0,4,0,1.5,1.5,1.4,2.9,9,37,49,0.00,0.28,0.28,0.00,0.28,0.11,0.09,0.20,0.11,0.20,Matches
354,Kosta Nedeljković,rs SRB,DF,Aston Villa,19-066,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
355,Reiss Nelson,eng ENG,FW,Arsenal,25-072,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
356,Reiss Nelson,eng ENG,FW,Fulham,25-072,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39,Matches
357,Neto,br BRA,GK,Bournemouth,35-216,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
358,Pedro Neto,pt POR,FW,Chelsea,24-348,2000,22,12,1194,13.3,2,2,4,2,0,0,6,0,1.3,1.3,2.7,4.0,79,26,117,0.15,0.15,0.30,0.15,0.30,0.10,0.20,0.30,0.10,0.30,Matches
359,Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,25-266,1999,18,6,632,7.0,0,1,1,0,0,0,3,0,1.7,1.7,1.3,3.0,30,13,53,0.00,0.14,0.14,0.00,0.14,0.25,0.18,0.43,0.25,0.43,Matches
360,Christopher Nkunku,fr FRA,FW,Chelsea,27-098,1997,21,4,552,6.1,2,1,3,2,0,0,1,0,4.0,4.0,1.7,5.6,9,18,45,0.33,0.16,0.49,0.33,0.49,0.64,0.27,0.92,0.64,0.92,Matches
361,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-177,1998,17,10,894,9.9,0,4,4,0,0,0,2,0,0.5,0.5,2.9,3.4,39,34,121,0.00,0.40,0.40,0.00,0.40,0.05,0.29,0.34,0.05,0.34,Matches
362,Darwin Núñez,uy URU,FW,Liverpool,25-241,1999,21,7,899,10.0,4,2,6,4,0,0,6,0,4.1,4.1,1.0,5.1,19,20,60,0.40,0.20,0.60,0.40,0.60,0.41,0.10,0.51,0.41,0.51,Matches
363,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17-336,2007,15,4,381,4.2,3,1,4,3,0,0,1,0,0.7,0.7,0.7,1.4,20,17,44,0.71,0.24,0.94,0.71,0.94,0.17,0.16,0.33,0.17,0.33,Matches
364,Christian Nørgaard,dk DEN,MF,Brentford,30-347,1994,22,22,1785,19.8,2,2,4,2,0,0,4,1,2.5,2.5,0.6,3.1,10,90,31,0.10,0.10,0.20,0.10,0.20,0.13,0.03,0.16,0.13,0.16,Matches
365,Jake O'Brien,ie IRL,DF,Everton,23-281,2001,8,5,491,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,11,9,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
366,Matt O'Riley,dk DEN,MF,Brighton,24-091,2000,12,5,475,5.3,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,9,22,25,0.19,0.19,0.38,0.19,0.38,0.23,0.22,0.45,0.23,0.45,Matches
367,Dara O'Shea,ie IRL,DF,Ipswich Town,25-353,1999,22,22,1952,21.7,0,0,0,0,0,0,5,0,0.8,0.8,0.0,0.8,3,51,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
368,Chidozie Obi-Martin,dk DEN,MF,Manchester Utd,17-083,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
369,Wilson Odobert,fr FRA,FW,Tottenham,20-084,2004,4,2,166,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,13,10,18,0.00,0.00,0.00,0.00,0.00,0.23,0.03,0.26,0.23,0.26,Matches
370,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-295,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
371,Caleb Okoli,it ITA,DF,Leicester City,23-222,2001,15,10,921,10.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,27,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
372,Robin Olsen,se SWE,GK,Aston Villa,35-043,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
373,Amadou Onana,be BEL,MF,Aston Villa,23-188,2001,17,14,1079,12.0,2,0,2,2,0,0,4,0,1.8,1.8,0.2,2.0,13,36,10,0.17,0.00,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17,Matches
374,André Onana,cm CMR,GK,Manchester Utd,28-324,1996,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
375,Paul Onuachu,ng NGA,FW,Southampton,30-268,1994,15,7,634,7.0,2,1,3,2,0,0,1,0,1.7,1.7,0.4,2.2,6,9,19,0.28,0.14,0.43,0.28,0.43,0.24,0.06,0.31,0.24,0.31,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
376,Frank Onyeka,ng NGA,MF,Brentford,27-050,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
377,Lewis Orford,eng ENG,MF,West Ham,19-002,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
378,Stefan Ortega,de GER,GK,Manchester City,32-106,1992,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
379,William Osula,dk DEN,"FW,MF",Newcastle Utd,21-200,2003,9,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches
380,Dango Ouattara,bf BFA,FW,Bournemouth,23-009,2002,22,13,1328,14.8,7,4,11,7,0,0,1,0,6.4,6.4,4.0,10.5,50,25,135,0.47,0.27,0.75,0.47,0.75,0.44,0.27,0.71,0.44,0.71,Matches
381,Nico O’Reilly,eng ENG,"MF,DF",Manchester City,19-336,2005,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
382,Alex Palmer,eng ENG,GK,Ipswich Town,28-194,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
383,Cole Palmer,eng ENG,MF,Chelsea,22-290,2002,25,25,2189,24.3,14,6,20,11,3,3,4,0,12.5,10.1,8.2,18.3,82,146,128,0.58,0.25,0.82,0.45,0.70,0.51,0.34,0.85,0.42,0.75,Matches
384,Emerson Palmieri,it ITA,DF,West Ham,30-201,1994,23,22,1677,18.6,2,1,3,2,0,0,5,0,1.6,1.6,1.5,3.1,32,47,65,0.11,0.05,0.16,0.11,0.16,0.09,0.08,0.16,0.09,0.16,Matches
385,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-177,1997,23,20,1699,18.9,4,0,4,2,2,2,6,0,4.8,3.3,2.1,5.3,15,92,64,0.21,0.00,0.21,0.11,0.11,0.26,0.11,0.37,0.17,0.28,Matches
386,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-252,1993,24,21,1928,21.4,3,2,5,3,0,0,2,0,1.6,1.6,1.6,3.2,20,129,29,0.14,0.09,0.23,0.14,0.23,0.07,0.07,0.15,0.07,0.15,Matches
387,Nathan Patterson,sct SCO,"DF,FW",Everton,23-127,2001,7,0,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,7,7,0.00,0.00,0.00,0.00,0.00,0.05,0.24,0.29,0.05,0.29,Matches
388,Andreas Pereira,br BRA,MF,Fulham,29-050,1996,22,16,1283,14.3,2,2,4,2,0,1,7,0,3.0,2.2,3.0,5.2,14,76,48,0.14,0.14,0.28,0.14,0.28,0.21,0.21,0.42,0.16,0.37,Matches
389,Ricardo Pereira,pt POR,DF,Leicester City,31-137,1993,2,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
390,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-080,1995,14,11,951,10.6,0,0,0,0,0,0,4,1,0.4,0.4,0.1,0.5,4,37,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
391,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-012,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20,Matches
392,Jaden Philogene Bidace,eng ENG,"FW,MF",Ipswich Town,23-012,2002,3,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
393,Jordan Pickford,eng ENG,GK,Everton,30-350,1994,25,25,2250,25.0,0,1,1,0,0,0,6,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches
394,Ethan Pinnock,jm JAM,DF,Brentford,31-267,1993,17,16,1471,16.3,2,0,2,2,0,0,2,0,0.9,0.9,1.2,2.0,2,33,8,0.12,0.00,0.12,0.12,0.12,0.05,0.07,0.12,0.05,0.12,Matches
395,Daniel Podence,pt POR,"MF,FW",Wolves,29-122,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
396,Alfie Pond,eng ENG,DF,Wolves,20-356,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
397,Nick Pope,eng ENG,GK,Newcastle Utd,32-307,1992,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
398,Pedro Porro,es ESP,DF,Tottenham,25-160,1999,25,22,2078,23.1,2,5,7,2,0,0,2,0,1.5,1.5,2.7,4.2,53,126,86,0.09,0.22,0.30,0.09,0.30,0.06,0.12,0.18,0.06,0.18,Matches
399,Jarell Quansah,eng ENG,DF,Liverpool,22-022,2003,7,2,275,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,8,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
400,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-130,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
401,Aaron Ramsdale,eng ENG,GK,Southampton,26-282,1998,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
402,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-268,2001,18,12,1069,11.9,1,2,3,1,0,0,1,0,1.2,1.2,1.7,2.9,38,46,70,0.08,0.17,0.25,0.08,0.25,0.10,0.14,0.24,0.10,0.24,Matches
403,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-112,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches
404,Marcus Rashford,eng ENG,FW,Aston Villa,27-112,1997,2,1,111,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,8,8,20,0.00,0.00,0.00,0.00,0.00,0.18,0.49,0.66,0.18,0.66,Matches
