Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Expected Goal Involvement (xGI),Total Points,Form,Points per Million (PPM),Minutes per Game,Fixture Difficulty (Next 3),Differential Score
McAtee,Man City,Midfielder,4.6,0.1,1.34,0.03,1.37,18,2.3,3.91,12.52,2.67,6.05
Ortega Moreno,Man City,Goalkeeper,5.2,0.6,0.0,0.0,0.0,25,0.0,4.81,1.0,2.67,0.0
Rodrigo,Man City,Midfielder,6.2,0.8,0.0,0.09,0.09,2,0.0,0.32,1.0,2.67,0.07
Rúben,Man City,Defender,5.4,2.2,1.12,0.75,1.87,34,0.0,6.3,1.0,2.67,0.88
Stones,Man City,Defender,5.3,1.1,0.6,0.17,0.77,29,2.7,5.47,50.65,2.67,3.12
Walker,Man City,Defender,5.1,2.7,0.12,1.34,1.46,13,0.0,2.55,1.0,2.67,0.59
Savinho,Man City,Midfielder,6.2,2.4,3.55,5.25,8.8,83,3.7,13.39,56.03,2.67,6.06
O’Reilly,Man City,Midfielder,4.9,0.0,0.03,0.0,0.03,2,0.3,0.41,3.15,2.67,0.65
Gündogan,Man City,Midfielder,6.3,0.4,1.59,2.95,4.54,46,2.7,7.3,83.58,2.67,8.72
Kaboré,Man City,Defender,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Wright,Man City,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Simpson-Pusey,Man City,Defender,4.0,0.0,0.0,0.01,0.01,1,0.0,0.25,1.0,2.67,0.01
Wilson-Esbrand,Man City,Defender,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Mubama,Man City,Forward,4.5,0.1,0.04,0.0,0.04,1,0.0,0.22,1.0,2.67,0.05
Alleyne,Man City,Defender,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Brits,Man City,Goalkeeper,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Khusanov,Man City,Defender,5.0,0.1,0.02,0.01,0.03,6,2.0,1.2,47.67,2.67,3.68
Vitor Reis,Man City,Defender,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Marmoush,Man City,Forward,7.1,6.1,0.88,0.58,1.46,21,7.0,2.96,73.0,2.67,2.28
N.Gonzalez,Man City,Midfielder,6.0,0.0,0.0,0.04,0.04,3,3.0,0.5,90.0,2.67,6.06
Amad,Man Utd,Midfielder,5.5,14.6,4.12,3.42,7.54,107,1.7,19.45,25.28,3.67,0.94
Antony,Man Utd,Midfielder,5.7,0.2,0.6,0.21,0.8099999999999999,8,0.0,1.4,1.0,3.67,1.01
B.Fernandes,Man Utd,Midfielder,8.3,8.3,7.86,4.59,12.45,106,2.0,12.77,38.02,3.67,2.44
Bayindir,Man Utd,Goalkeeper,4.3,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Casemiro,Man Utd,Midfielder,4.7,0.4,1.25,1.73,2.98,33,0.3,7.02,8.39,3.67,3.62
Dalot,Man Utd,Defender,5.0,5.5,1.69,1.69,3.38,65,3.3,13.0,107.94,3.67,1.8
